"transactionid","operationid","transactiontype","senderid","recipientid","tokenamount","transferaction","message","createdat","transactioncategory"
"95716145-0c65-46b8-bb28-67c8fb9afc42","7c914ce7-d427-4579-8aef-07af723b580f","transferSenderToBurnWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","7e0b2d21-d2b0-4af5-8b73-5f8efc04b000","8.1000000000","BURN_FEE",NULL,"2025-12-10 09:39:55.110205","FEE"
"7575545e-9950-4efb-b784-b7bbc2b5fcc6","7c914ce7-d427-4579-8aef-07af723b580f","transferSenderToPeerWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","16.2000000000","PEER_FEE",NULL,"2025-12-10 09:39:55.106224","FEE"
"703374ab-793e-4186-b6aa-7c127f21b970","7c914ce7-d427-4579-8aef-07af723b580f","transferSenderToInviter","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","8.1000000000","INVITER_FEE",NULL,"2025-12-10 09:39:55.102176","FEE"
"ad4a0dc9-945a-4436-b08f-0998b93f24c5","7c914ce7-d427-4579-8aef-07af723b580f","transferSenderToRecipient","2736677b-57b8-4ee2-87fe-24ed975e55a6","6120d4e3-829e-4263-8cab-fffe96a35cdc","810.0000000000","CREDIT","Alpha Token Migration","2025-12-10 09:39:55.09838","P2P_TRANSFER"
"cc652c7c-0312-481d-a4ec-5d7969701f9e","396c47ec-b077-4b51-9bd3-ee25ee6491cd","transferSenderToBurnWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","7e0b2d21-d2b0-4af5-8b73-5f8efc04b000","1000.0000000000","BURN_FEE",NULL,"2025-12-10 09:39:55.081357","FEE"
"097b1e92-052b-4cab-bc06-3d184ca4f793","396c47ec-b077-4b51-9bd3-ee25ee6491cd","transferSenderToPeerWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","2000.0000000000","PEER_FEE",NULL,"2025-12-10 09:39:55.077643","FEE"
"1ed0720c-4296-4ca1-a7c1-c3a39fe65d25","396c47ec-b077-4b51-9bd3-ee25ee6491cd","transferSenderToInviter","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","1000.0000000000","INVITER_FEE",NULL,"2025-12-10 09:39:55.073776","FEE"
"8ce87ce0-e082-4d8f-b1b6-65f6bdc5dab0","396c47ec-b077-4b51-9bd3-ee25ee6491cd","transferSenderToRecipient","2736677b-57b8-4ee2-87fe-24ed975e55a6","3f6d55c1-9731-4f28-8b85-5a30cd7c5cc4","100000.0000000000","CREDIT","Alpha Token Migration","2025-12-10 09:39:55.067825","P2P_TRANSFER"
"fa196b83-5610-44c5-a4cb-4a0f758768aa","b9d3996e-064c-4891-a4de-78d56219f0e6","transferSenderToBurnWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","7e0b2d21-d2b0-4af5-8b73-5f8efc04b000","55.6000000000","BURN_FEE",NULL,"2025-12-10 09:39:55.048944","FEE"
"1572bcc2-02ed-4be3-a62e-2dfbab69048d","b9d3996e-064c-4891-a4de-78d56219f0e6","transferSenderToPeerWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","111.2000000000","PEER_FEE",NULL,"2025-12-10 09:39:55.043639","FEE"
"d169fc55-248e-4514-bb43-fa5f4b78a522","b9d3996e-064c-4891-a4de-78d56219f0e6","transferSenderToInviter","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","55.6000000000","INVITER_FEE",NULL,"2025-12-10 09:39:55.039429","FEE"
"72f52650-409c-44fd-8711-0906cbf14118","b9d3996e-064c-4891-a4de-78d56219f0e6","transferSenderToRecipient","2736677b-57b8-4ee2-87fe-24ed975e55a6","1db59ac8-8878-45e4-9d37-a0bc95bb95b7","5560.0000000000","CREDIT","Alpha Token Migration","2025-12-10 09:39:55.035501","P2P_TRANSFER"
"602d54c5-cf95-403f-8b6d-c31dc38f8760","9951cb7d-b798-4eea-9573-de9d7b1ab233","transferSenderToBurnWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","7e0b2d21-d2b0-4af5-8b73-5f8efc04b000","22.0600000000","BURN_FEE",NULL,"2025-12-10 09:39:55.017771","FEE"
"40274f05-5c29-4563-8ff9-4607b86d4c33","9951cb7d-b798-4eea-9573-de9d7b1ab233","transferSenderToPeerWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","44.1200000000","PEER_FEE",NULL,"2025-12-10 09:39:55.014185","FEE"
"09352648-a572-4a49-908a-58b730132429","9951cb7d-b798-4eea-9573-de9d7b1ab233","transferSenderToInviter","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","22.0600000000","INVITER_FEE",NULL,"2025-12-10 09:39:55.010306","FEE"
"f01bbf0b-2889-4361-8a4b-efa4660b0752","9951cb7d-b798-4eea-9573-de9d7b1ab233","transferSenderToRecipient","2736677b-57b8-4ee2-87fe-24ed975e55a6","9e95b3b5-7b72-4e6a-a1e3-d9c15c1bb9e0","2206.0000000000","CREDIT","Alpha Token Migration","2025-12-10 09:39:55.006574","P2P_TRANSFER"
"75edee3e-1a46-4342-a876-59dc9c3f4a0e","10bd2ce9-6d8b-4fd3-9b3d-7938d6793e92","transferSenderToBurnWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","7e0b2d21-d2b0-4af5-8b73-5f8efc04b000","30.0000000000","BURN_FEE",NULL,"2025-12-10 09:39:54.989588","FEE"
"16060e0e-b0c7-4ca1-8464-94f6c6dcc728","10bd2ce9-6d8b-4fd3-9b3d-7938d6793e92","transferSenderToPeerWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","60.0000000000","PEER_FEE",NULL,"2025-12-10 09:39:54.986023","FEE"
"e23e8180-47c0-48f2-bae6-db1764420e67","10bd2ce9-6d8b-4fd3-9b3d-7938d6793e92","transferSenderToInviter","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","30.0000000000","INVITER_FEE",NULL,"2025-12-10 09:39:54.982403","FEE"
"8e269b4f-dffd-40f4-b619-e9722982f45a","10bd2ce9-6d8b-4fd3-9b3d-7938d6793e92","transferSenderToRecipient","2736677b-57b8-4ee2-87fe-24ed975e55a6","6f2e3706-1700-4342-b9aa-5585a6c5eb4d","3000.0000000000","CREDIT","Alpha Token Migration","2025-12-10 09:39:54.978389","P2P_TRANSFER"
"cdde0cb7-ed4b-4c3d-9494-3b7641bfcc49","c66adef0-8bfb-4359-a81e-950acde44693","transferSenderToBurnWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","7e0b2d21-d2b0-4af5-8b73-5f8efc04b000","7.3200000000","BURN_FEE",NULL,"2025-12-10 09:39:54.959221","FEE"
"b5a55fe1-2f29-4d1a-8664-ceb986fee1f7","c66adef0-8bfb-4359-a81e-950acde44693","transferSenderToPeerWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","14.6400000000","PEER_FEE",NULL,"2025-12-10 09:39:54.955654","FEE"
"a9f476ff-3392-4b65-a239-59f51a432020","c66adef0-8bfb-4359-a81e-950acde44693","transferSenderToInviter","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","7.3200000000","INVITER_FEE",NULL,"2025-12-10 09:39:54.95189","FEE"
"3b762eed-99c9-4910-a368-75ed72d2c93d","c66adef0-8bfb-4359-a81e-950acde44693","transferSenderToRecipient","2736677b-57b8-4ee2-87fe-24ed975e55a6","78fa1d3d-fd25-4032-ab3b-cb7ebf6d6562","732.0000000000","CREDIT","Alpha Token Migration","2025-12-10 09:39:54.947866","P2P_TRANSFER"
"46fff913-bb69-4393-95ec-e2a1e1bf10de","17786ce0-3ed1-4d55-8e31-d36847cc12d3","transferSenderToBurnWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","7e0b2d21-d2b0-4af5-8b73-5f8efc04b000","14.9600000000","BURN_FEE",NULL,"2025-12-10 09:39:54.931703","FEE"
"279659a5-279b-4e51-ba56-50c71f2a0e31","17786ce0-3ed1-4d55-8e31-d36847cc12d3","transferSenderToPeerWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","29.9200000000","PEER_FEE",NULL,"2025-12-10 09:39:54.927752","FEE"
"d144e1fa-9abc-4105-bc2a-9c2957dd2e22","17786ce0-3ed1-4d55-8e31-d36847cc12d3","transferSenderToInviter","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","14.9600000000","INVITER_FEE",NULL,"2025-12-10 09:39:54.924007","FEE"
"a51c0fcb-be6d-4455-b912-aed5d585f7cc","17786ce0-3ed1-4d55-8e31-d36847cc12d3","transferSenderToRecipient","2736677b-57b8-4ee2-87fe-24ed975e55a6","78fa1d3d-fd25-4032-ab3b-cb7ebf6d6562","1496.0000000000","CREDIT","Alpha Token Migration","2025-12-10 09:39:54.920399","P2P_TRANSFER"
"a8fc13d5-c8f5-43eb-a97b-2b154c0939dc","fb92f52a-000a-44df-9fbf-503eb5df986d","transferSenderToBurnWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","7e0b2d21-d2b0-4af5-8b73-5f8efc04b000","107.7200000000","BURN_FEE",NULL,"2025-12-10 09:39:54.903822","FEE"
"89769f82-0ba1-4762-ba3a-fd58df3c402b","fb92f52a-000a-44df-9fbf-503eb5df986d","transferSenderToPeerWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","215.4400000000","PEER_FEE",NULL,"2025-12-10 09:39:54.900183","FEE"
"e214f490-de53-4e1e-a286-62462ceed1db","fb92f52a-000a-44df-9fbf-503eb5df986d","transferSenderToInviter","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","107.7200000000","INVITER_FEE",NULL,"2025-12-10 09:39:54.896506","FEE"
"35c94879-baea-4b77-abc9-bf45cafff784","fb92f52a-000a-44df-9fbf-503eb5df986d","transferSenderToRecipient","2736677b-57b8-4ee2-87fe-24ed975e55a6","78fa1d3d-fd25-4032-ab3b-cb7ebf6d6562","10772.0000000000","CREDIT","Alpha Token Migration","2025-12-10 09:39:54.892174","P2P_TRANSFER"
"3fa800bf-1e2b-4f13-863f-870ef3623184","62d0aa05-73d5-424e-bec2-8afd5877c0ff","transferSenderToBurnWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","7e0b2d21-d2b0-4af5-8b73-5f8efc04b000","8.0000000000","BURN_FEE",NULL,"2025-12-10 09:39:54.875137","FEE"
"04ca51bb-cd35-4bf9-a77c-59cccc5b8847","62d0aa05-73d5-424e-bec2-8afd5877c0ff","transferSenderToPeerWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","16.0000000000","PEER_FEE",NULL,"2025-12-10 09:39:54.871569","FEE"
"4431fd7c-63f3-47f8-ab20-a7a5c9e6fb00","62d0aa05-73d5-424e-bec2-8afd5877c0ff","transferSenderToInviter","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","8.0000000000","INVITER_FEE",NULL,"2025-12-10 09:39:54.867907","FEE"
"9e4c9d97-60ea-4625-bf1b-a9063f60c5e1","62d0aa05-73d5-424e-bec2-8afd5877c0ff","transferSenderToRecipient","2736677b-57b8-4ee2-87fe-24ed975e55a6","57174a04-9dff-4d69-a6e9-3da3769d6f76","800.0000000000","CREDIT","Alpha Token Migration","2025-12-10 09:39:54.864182","P2P_TRANSFER"
"3636b64f-0cfb-4c15-9df2-dd14910d8b28","524b8710-1d79-4bdc-a13b-ca935c5aef53","transferSenderToBurnWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","7e0b2d21-d2b0-4af5-8b73-5f8efc04b000","24.0800000000","BURN_FEE",NULL,"2025-12-10 09:39:54.847583","FEE"
"c2f47633-d3fb-4da5-8394-9cada25df59f","524b8710-1d79-4bdc-a13b-ca935c5aef53","transferSenderToPeerWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","48.1600000000","PEER_FEE",NULL,"2025-12-10 09:39:54.8436","FEE"
"2846cb87-cb47-42a9-9caf-dbc1e7234c42","524b8710-1d79-4bdc-a13b-ca935c5aef53","transferSenderToInviter","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","24.0800000000","INVITER_FEE",NULL,"2025-12-10 09:39:54.839585","FEE"
"3a9aa289-e908-4982-a897-0ccff9d7e08b","524b8710-1d79-4bdc-a13b-ca935c5aef53","transferSenderToRecipient","2736677b-57b8-4ee2-87fe-24ed975e55a6","581310d7-ac48-485a-b338-c8702b4f0ea4","2408.0000000000","CREDIT","Alpha Token Migration","2025-12-10 09:39:54.835569","P2P_TRANSFER"
"1c0304a1-aee8-4b9c-809d-55c84ff8328d","36a32ad1-8236-4826-adb8-a1611be57baa","transferSenderToBurnWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","7e0b2d21-d2b0-4af5-8b73-5f8efc04b000","4.1700000000","BURN_FEE",NULL,"2025-12-10 09:39:54.81862","FEE"
"a8592d53-89c9-4183-b215-9bf9ff7fc916","36a32ad1-8236-4826-adb8-a1611be57baa","transferSenderToPeerWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","8.3400000000","PEER_FEE",NULL,"2025-12-10 09:39:54.814793","FEE"
"763898a2-a507-44cf-8da4-424cb4fa1f19","36a32ad1-8236-4826-adb8-a1611be57baa","transferSenderToInviter","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","4.1700000000","INVITER_FEE",NULL,"2025-12-10 09:39:54.810435","FEE"
"32cec383-b9ca-465d-9951-89242e4967e0","36a32ad1-8236-4826-adb8-a1611be57baa","transferSenderToRecipient","2736677b-57b8-4ee2-87fe-24ed975e55a6","18f58004-6b29-482f-8a09-6b18978a856e","417.0000000000","CREDIT","Alpha Token Migration","2025-12-10 09:39:54.805059","P2P_TRANSFER"
"f9f5b9fc-84a1-480c-adf1-62d88bf4af2d","722461f2-6c3a-44fc-b0a6-7ab6e16e4fb4","transferSenderToBurnWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","7e0b2d21-d2b0-4af5-8b73-5f8efc04b000","378.8300000000","BURN_FEE",NULL,"2025-09-15 14:39:55.487221","FEE"
"91a950bf-98bb-4252-865f-4a9f780c47dc","722461f2-6c3a-44fc-b0a6-7ab6e16e4fb4","transferSenderToPeerWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","757.6600000000","PEER_FEE",NULL,"2025-09-15 14:39:55.477985","FEE"
"7bc8fb90-181c-4dc6-a57a-767ce81d73ec","722461f2-6c3a-44fc-b0a6-7ab6e16e4fb4","transferSenderToInviter","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","378.8300000000","INVITER_FEE",NULL,"2025-09-15 14:39:55.458471","FEE"
"61d8d6c3-04b4-48a9-b2d3-2e42078cf6da","722461f2-6c3a-44fc-b0a6-7ab6e16e4fb4","transferSenderToRecipient","2736677b-57b8-4ee2-87fe-24ed975e55a6","be8179fb-93f4-460a-897d-788181f7fb6f","38261.8300000000","CREDIT","Alpha Token Migration","2025-09-15 14:39:55.44794","P2P_TRANSFER"
"61ab3ae9-4ce1-4f0c-97f4-fa79685783c7","3845c865-b333-4329-8af9-e5bbe4578911","transferSenderToBurnWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","7e0b2d21-d2b0-4af5-8b73-5f8efc04b000","0.1200000000","BURN_FEE",NULL,"2025-09-02 13:16:51.599438","FEE"
"c4113ad4-6863-4b04-8366-c79acb45d17b","3845c865-b333-4329-8af9-e5bbe4578911","transferSenderToPeerWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","0.2400000000","PEER_FEE",NULL,"2025-09-02 13:16:51.59017","FEE"
"ad60bd1a-da43-49a4-a04b-de9054b754b3","3845c865-b333-4329-8af9-e5bbe4578911","transferSenderToInviter","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","0.1200000000","INVITER_FEE",NULL,"2025-09-02 13:16:51.572439","FEE"
"8b9c6cd4-82c0-4810-8770-a1035494ec1e","3845c865-b333-4329-8af9-e5bbe4578911","transferSenderToRecipient","2736677b-57b8-4ee2-87fe-24ed975e55a6","e9c07cc3-4259-40f3-8fa2-41de56b3401b","12.1200000000","CREDIT","Alpha Token Migration","2025-09-02 13:16:51.563442","P2P_TRANSFER"
"9901b8cb-5bb8-4b13-800f-8cd7c9eb9241","86617dea-a289-42b1-adea-c4b824b57a72","transferSenderToBurnWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","7e0b2d21-d2b0-4af5-8b73-5f8efc04b000","0.0300000000","BURN_FEE",NULL,"2025-09-02 13:16:51.542051","FEE"
"0cbe316f-4482-4506-8343-ad543b874384","86617dea-a289-42b1-adea-c4b824b57a72","transferSenderToPeerWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","0.0600000000","PEER_FEE",NULL,"2025-09-02 13:16:51.532396","FEE"
"f2296bc7-d14b-4f96-a1e4-1bf17593b921","86617dea-a289-42b1-adea-c4b824b57a72","transferSenderToInviter","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","0.0300000000","INVITER_FEE",NULL,"2025-09-02 13:16:51.513873","FEE"
"a7470fd9-bb8e-48da-b0fd-213e3d47f180","86617dea-a289-42b1-adea-c4b824b57a72","transferSenderToRecipient","2736677b-57b8-4ee2-87fe-24ed975e55a6","1f64794d-9b10-4a7a-bf89-365fcb641af3","3.0300000000","CREDIT","Alpha Token Migration","2025-09-02 13:16:51.504435","P2P_TRANSFER"
"31c48d48-3d36-41fc-8c92-c583649247b3","25531a32-6a5b-48ed-8ac8-a84fa2f58262","transferSenderToBurnWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","7e0b2d21-d2b0-4af5-8b73-5f8efc04b000","0.0600000000","BURN_FEE",NULL,"2025-09-02 13:16:51.483023","FEE"
"30635564-ed15-4535-b117-4ea30737cc28","25531a32-6a5b-48ed-8ac8-a84fa2f58262","transferSenderToPeerWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","0.1200000000","PEER_FEE",NULL,"2025-09-02 13:16:51.473706","FEE"
"43afe164-580c-468d-ae9b-652169f95f7e","25531a32-6a5b-48ed-8ac8-a84fa2f58262","transferSenderToInviter","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","0.0600000000","INVITER_FEE",NULL,"2025-09-02 13:16:51.455562","FEE"
"010cae78-89f3-4801-9abb-5b0947e4c1fc","25531a32-6a5b-48ed-8ac8-a84fa2f58262","transferSenderToRecipient","2736677b-57b8-4ee2-87fe-24ed975e55a6","161e593d-bc0d-4ee5-9712-91727518b535","6.0600000000","CREDIT","Alpha Token Migration","2025-09-02 13:16:51.445878","P2P_TRANSFER"
"ef4eaee7-32b9-4c12-b5a8-535b1d39d607","8bcd3c98-e539-4a67-89a5-c97fe61827f8","transferSenderToBurnWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","7e0b2d21-d2b0-4af5-8b73-5f8efc04b000","0.2000000000","BURN_FEE",NULL,"2025-09-02 13:16:51.424926","FEE"
"47c51179-309f-46b9-a263-3d2ca1ba2ad8","8bcd3c98-e539-4a67-89a5-c97fe61827f8","transferSenderToPeerWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","0.4000000000","PEER_FEE",NULL,"2025-09-02 13:16:51.416226","FEE"
"e58ef3a8-33bd-4d20-9e05-d881a75d8043","8bcd3c98-e539-4a67-89a5-c97fe61827f8","transferSenderToInviter","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","0.2000000000","INVITER_FEE",NULL,"2025-09-02 13:16:51.398475","FEE"
"f3c343dd-a671-4cbd-a136-1f5803b27040","8bcd3c98-e539-4a67-89a5-c97fe61827f8","transferSenderToRecipient","2736677b-57b8-4ee2-87fe-24ed975e55a6","76c56ddf-2c01-44e1-9fb4-881441b34ebf","20.2000000000","CREDIT","Alpha Token Migration","2025-09-02 13:16:51.389557","P2P_TRANSFER"
"1f5c3ad4-c839-4b7d-9540-c02fffa9f445","1f37e420-c315-4f84-8ae8-576bc711b9d5","transferSenderToBurnWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","7e0b2d21-d2b0-4af5-8b73-5f8efc04b000","0.4500000000","BURN_FEE",NULL,"2025-09-02 13:16:51.370457","FEE"
"c43940fe-f658-4d35-b6ca-e67075e59639","1f37e420-c315-4f84-8ae8-576bc711b9d5","transferSenderToPeerWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","0.9000000000","PEER_FEE",NULL,"2025-09-02 13:16:51.361831","FEE"
"0b71c99d-4dfc-4775-953a-25f633578741","1f37e420-c315-4f84-8ae8-576bc711b9d5","transferSenderToInviter","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","0.4500000000","INVITER_FEE",NULL,"2025-09-02 13:16:51.345233","FEE"
